Date,Open,High,Low,Close,Year,Month
2005-07-01,13.0,14.0,11.25,12.46,2005,7
2005-08-01,12.58,14.88,12.55,13.42,2005,8
2005-09-01,13.48,14.87,12.27,13.3,2005,9
2005-10-01,13.2,14.47,12.4,12.99,2005,10
2005-11-01,13.35,13.88,12.88,13.41,2005,11
2005-12-01,13.49,14.44,13.0,13.71,2005,12
2006-01-01,13.68,17.16,13.58,15.33,2006,1
2006-02-01,15.5,16.97,15.4,16.12,2006,2
2006-03-01,16.2,20.95,16.02,20.08,2006,3
2006-04-01,20.56,20.8,18.02,19.49,2006,4
2006-05-01,19.8,21.8,15.8,18.03,2006,5
2006-06-01,18.2,18.4,13.4,15.62,2006,6
2006-07-01,16.0,17.2,13.82,16.16,2006,7
2006-08-01,15.9,18.6,15.7,17.84,2006,8
2006-09-01,18.0,18.88,16.8,18.46,2006,9
2006-10-01,18.78,24.2,18.5,22.78,2006,10
2006-11-01,22.8,28.47,21.4,25.32,2006,11
2006-12-01,25.4,29.66,24.4,26.97,2006,12
2007-01-01,27.4,34.16,27.0,30.16,2007,1
2007-02-01,30.2,32.6,26.8,28.63,2007,2
2007-03-01,29.3,31.58,23.31,28.14,2007,3
2007-04-01,27.0,31.99,26.2,30.31,2007,4
2007-05-01,30.66,36.14,29.11,33.51,2007,5
2007-06-01,33.89,36.38,30.4,35.98,2007,6
2007-07-01,35.98,41.04,35.02,37.93,2007,7
2007-08-01,37.5,39.0,30.2,36.99,2007,8
2007-09-01,37.4,41.75,35.3,41.36,2007,9
2007-10-01,41.8,47.3,33.6,43.48,2007,10
2007-11-01,44.4,50.98,40.02,46.18,2007,11
2007-12-01,46.4,54.0,45.0,49.81,2007,12
2008-01-01,49.99,55.56,30.24,50.54,2008,1
2008-02-01,50.88,53.97,44.4,49.42,2008,2
2008-03-01,48.9,48.9,24.11,33.75,2008,3
2008-04-01,33.9,35.8,28.51,34.06,2008,4
2008-05-01,34.3,36.88,30.03,31.13,2008,5
2008-06-01,31.22,32.22,22.62,22.85,2008,6
2008-07-01,22.85,30.5,20.4,25.45,2008,7
2008-08-01,25.0,28.98,24.62,26.83,2008,8
2008-09-01,26.68,29.8,21.7,24.13,2008,9
2008-10-01,24.6,25.0,11.01,13.58,2008,10
2008-11-01,14.79,17.8,11.25,12.26,2008,11
2008-12-01,12.4,16.56,11.13,15.03,2008,12
2009-01-01,15.28,18.34,11.48,12.24,2009,1
2009-02-01,12.19,12.5,9.9,10.26,2009,2
